,MSE_qm_test,MAE_qm_test,lh_qm_test,MSE_cl_test,MAE_cl_test,lh_cl_test
20,0.06598310759216525,0.22735583422187777,1.5043746043525918,0.07251253217201215,0.23693789938771204,1.5898107541633464
21,0.06896139901504149,0.22702800422383457,1.6467739399649695,0.07223843028506477,0.23234340081700766,1.6878192417981546
22,0.05845201700927598,0.2117871808956302,0.940431230758328,0.06333637404246333,0.21989695329267753,0.970858459690617
23,0.06750531111782435,0.22629204453513466,1.5230357576556235,0.0721581614978504,0.23160038238920863,1.5808958369704746
24,0.07069044302948828,0.23189734921672223,1.4139250197269455,0.07521412765516833,0.23892715621654767,1.472671162654977
25,0.024080514761260458,0.1521533069303816,1.0428750872663617,0.024194660688996738,0.1530952758503424,1.0491005607912902
26,0.06353301579640816,0.22120698560058108,1.021135197794425,0.06947963686788765,0.23046231531387112,1.067951388009667
27,0.07182315717187489,0.23794920474286396,1.2054369965454192,0.07631043396050999,0.2446825414938754,1.2345152630854868
28,0.06031499794069635,0.20842333085780812,1.5887826476235003,0.06423894575143767,0.21239668430233588,1.6288865437246947
29,0.07184477141076291,0.23514590679160388,1.276562826499686,0.08019154804519339,0.24947497063472368,1.328971453410972
30,0.06901900800669573,0.22720203898015476,1.3730514826041529,0.07267297596897701,0.23201995103520262,1.4095814334856724
31,0.0774027805926373,0.24692078170857643,1.8322759033671707,0.0829179251796261,0.25378131903337714,1.9289098199174846
32,0.07677235901346657,0.23803817757820397,1.734496989638707,0.08096895479481103,0.24453064019766255,1.8071504252848611
33,0.07340511390560481,0.23371493416837497,1.5557834051214152,0.07827405792012394,0.23961134660199704,1.6355659836733296
34,0.07645256986298886,0.2395881462148959,1.4346476148899912,0.08235884328996602,0.24894117938772942,1.501669820608455
35,0.06490155513753562,0.22358412769481276,1.6423866176375785,0.06865821671656697,0.22860658639428352,1.710538027690949
36,0.053942631743677784,0.19347543433553407,1.4650498292798586,0.054965402108038124,0.19452000656138196,1.5019806353220888
37,0.06079270225483943,0.2142680511837122,1.3332864487332088,0.06427440419641568,0.2181836083246148,1.364552801902048
38,0.05789667279607132,0.20710263251421926,1.181055709268309,0.06256075708801308,0.21458766054418144,1.2151249807222422
39,0.07562632252326254,0.2371254513080472,1.7961297629200392,0.08154825345269416,0.2466478015677617,1.8984513040713678
40,0.07555510278142115,0.24208312274093832,1.3598524832260377,0.08049644397607185,0.24900164224031818,1.4186124394727513
41,0.06942632358198089,0.2330612242386186,1.1761582442878455,0.07508784897213902,0.24171804043838274,1.2231517182116138
42,0.06897051755358063,0.2243662622442962,1.4009689985624465,0.07314774606449549,0.22984758738976271,1.449710310731304
43,0.07102217540087646,0.22861586829234493,2.076912601980445,0.07878118884267457,0.24129055938549457,2.228650406748236
44,0.06457854668231552,0.22059050856963539,1.5156915338047827,0.07399973281150803,0.23587689367262954,1.6294722904099344
45,0.07278514790174297,0.2346016824703326,1.6629840263249556,0.07654389097550907,0.23918335274256988,1.684371164905609
46,0.05859205897142232,0.20480256224471055,1.3262980423181774,0.060945903837656974,0.20786763773000141,1.3253384680064615
47,0.052243797160978336,0.19642037560766903,1.343505559951767,0.05315118824859606,0.1968904743146548,1.351407548085962
48,0.062015505547739026,0.21555014785813364,1.4885349932226821,0.06864261734093692,0.22480015110420198,1.596737425246653
49,0.06669849240895526,0.220370235475201,1.1454976854220194,0.06854198336273574,0.223345941072421,1.1635132737780642
50,0.03916842024462086,0.18418850498938877,0.8379219729643114,0.05099110098709108,0.20315308867812146,0.981935272185588
51,0.060343412600752856,0.21461004613421755,1.7213222617592476,0.06478458512707967,0.2227112455462959,1.801803630948157
52,0.06384852781460044,0.2246486873161438,1.3755802052128279,0.0674051631813723,0.22911780465146384,1.4263969507225158
